country,rent_index,groceries_index,local_purchasing_power_index,affordability_score
Argentina,7.6,29.7,41.5,37.3
Colombia,8.6,30.3,33.7,38.9
Philippines,7.1,35.0,33.3,42.1
Vietnam,9.0,33.9,40.5,42.9
Georgia,13.7,33.3,35.3,47.0
