country,city,quality_of_life
Spain,Madrid,59.87
Portugal,Lisbon,56.08
Uruguay,Montevideo,44.63
Argentina,Buenos Aires,39.78
Thailand,Bangkok,37.54
Serbia,Belgrade,35.69
Mexico,Mexico City,27.91
Philippines,Manila,13.14
Vietnam,Hanoi,5.29
